iter	RMSE
0	0.8348252184
1	0.8344074011
2	0.8339371223
3	0.8335048058
4	0.8330448728
5	0.8326442057
6	0.8322454122
7	0.8318802349
8	0.8315377306
9	0.8312092036
10	0.8309097342
11	0.8306395543
12	0.8303254897
13	0.8300743622
14	0.8297857185
15	0.8295321445
16	0.8292757456
17	0.8290620482
18	0.828828113
19	0.8286351721
20	0.8284088505
21	0.8282113123
22	0.8280226673
23	0.8278062635
24	0.8276424853
25	0.8274699909
26	0.827287937
27	0.8271515602
28	0.8269787677
29	0.8268385454
30	0.826628074
31	0.826458244
32	0.8263329865
33	0.8261910354
34	0.826078142
35	0.8260027538
36	0.8258804728
37	0.8257244828
38	0.8256083591
39	0.8254748085
40	0.8253390492
41	0.8252565146
42	0.825135353
43	0.825041439
44	0.8248747357
45	0.8246877716
46	0.8246237089
47	0.8244516186
48	0.8243509725
49	0.8242681793
50	0.8241861538
51	0.824143681
52	0.8239901974
53	0.8238968594
54	0.8237692423
55	0.8237118569
56	0.8236176835
57	0.8235199137
58	0.8234524187
59	0.823320664
60	0.8232097536
61	0.8230761878
62	0.8230236001
63	0.8229101801
64	0.8228531361
65	0.8228283635
66	0.8227530263
67	0.8227336806
68	0.8226300178
69	0.8225760334
70	0.8224472323
71	0.8224073514
72	0.8222844421
73	0.8222064784
74	0.8221430779
75	0.8220751705
76	0.8220337592
77	0.8219203052
78	0.8218425214
79	0.8217262953
80	0.821642809
81	0.8215635068
82	0.8215043315
83	0.8214082489
84	0.8213580649
85	0.8213448317
86	0.8212402226
87	0.8211084485
88	0.8210958982
89	0.8210366624
90	0.8210018033
91	0.8209217194
92	0.8207898432
93	0.8207130641
94	0.8206405984
95	0.8206391001
96	0.8205568912
97	0.8204306113
98	0.820384314
99	0.8203472581
