iter	Passed	Remaining
0	222	22074
1	299	14695
2	378	12240
3	469	11264
4	539	10251
5	623	9761
6	669	8892
7	718	8263
8	765	7743
9	815	7343
10	869	7036
11	920	6750
12	968	6481
13	1019	6260
14	1090	6181
15	1141	5993
16	1190	5813
17	1238	5643
18	1289	5497
19	1340	5360
20	1389	5225
21	1437	5097
22	1510	5057
23	1558	4935
24	1604	4814
25	1656	4715
26	1707	4615
27	1755	4513
28	1802	4412
29	1850	4317
30	1895	4219
31	1945	4133
32	1990	4041
33	2039	3958
34	2086	3874
35	2124	3777
36	2174	3702
37	2223	3627
38	2273	3555
39	2320	3480
40	2368	3408
41	2416	3336
42	2463	3265
43	2513	3198
44	2562	3131
45	2611	3065
46	2660	2999
47	2708	2934
48	2756	2869
49	2823	2823
50	2870	2758
51	2900	2677
52	2949	2615
53	2996	2552
54	3047	2493
55	3098	2434
56	3148	2375
57	3197	2315
58	3247	2256
59	3298	2199
60	3364	2150
61	3413	2092
62	3462	2033
63	3514	1977
64	3568	1921
65	3602	1855
66	3659	1802
67	3701	1741
68	3748	1684
69	3800	1628
70	3851	1573
71	3902	1517
72	3954	1462
73	4008	1408
74	4057	1352
75	4108	1297
76	4159	1242
77	4209	1187
78	4258	1132
79	4308	1077
80	4358	1022
81	4410	968
82	4459	913
83	4510	859
84	4560	804
85	4591	747
86	4639	693
87	4686	639
88	4724	583
89	4774	530
90	4826	477
91	4873	423
92	4920	370
93	4969	317
94	5016	264
95	5039	209
96	5086	157
97	5134	104
98	5181	52
99	5225	0
